0.846302;4.67665;2.58981;8.91652;-8.80767;-3.86362;5.38574
-7.78965;-6.93354;-7.39876;2.9943;-5.58563;-1.93176;-2.83502
7.92584;-7.57016;-3.17434;-1.21159;-5.78611;1.81783;0.594533
-3.80874;-0.432848;-0.996662;-2.78237;-5.91207;0.0452234;0.179785
2.07329;5.62792;6.39461;-2.22793;1.75929;4.17073;-0.367527
-5.12906;2.90992;2.96371;-4.9926;1.69369;-8.81827;8.65204
3.4327;6.95233;-0.00599679;-0.385781;-8.70673;-2.69042;-0.887073
-8.45779;-1.10387;3.23927;1.79076;3.14344;0.212715;4.78298
6.8248;-6.47105;0.135171;-3.39721;-3.45899;4.13473;-7.83097
-2.71526;5.93959;-7.81952;-4.12553;5.26421;8.28294;-1.16404
-4.76631;-5.45604;-1.14396;8.84713;-8.93369;2.07401;-2.84466
-7.54539;-3.63535;2.01849;-5.88637;4.11342;-1.93062;0.861039
3.69237;1.90259;0.800934;4.49014;-7.81142;1.43679;-3.93771;7.22918;5.98469;5.08643;-3.22738;3.62089;-3.77094
7.41809;7.42271;-1.73696;-4.06021;7.08753;1.13024;-3.82688;7.80155;-1.46045;-4.64553;-2.35802;-7.41784;4.75684
-3.74797;-3.87087;-8.73843;-4.21109;-6.83722;0.448147;-4.64517;2.4333;8.65891;-8.34191;4.0887;-1.28995;-0.684918
-1.99669;0.228507;-7.95779;-5.28757;3.87845;-4.47435;1.90504;-0.547118;-6.66801;0.251004;-0.265081;-8.58641;4.94018
5.65026;4.94059;-3.16986;5.36552;8.00587;1.67636;-6.92226;6.21124;3.21433;8.26828;8.46725;2.49765;-5.02293
5.731;5.08485;-7.65712;-5.12931;-7.28305;-7.88256;1.43406;5.59515;-2.4325;2.63721;-5.99666;-1.34784;-3.86486
7.03852;-4.45961;-6.22334;-7.94614;-4.76168;-2.30898;6.40564;0.41457;-2.06298;-7.03636;5.82686;7.45653;4.97144
8.70037;-0.405976;-1.27169;-7.96015;6.38428;-1.97734;-0.889267;5.811;-5.35918;-1.81365;-1.65527;-5.22328;-1.52972
4.0388;-0.446677;8.89662;-0.938249;8.75279;-4.23393;8.55184;6.84882;3.12545;5.41456;-4.86627;1.32766;1.96471
2.37097;0.736931;-8.275;6.33849;-0.658156;3.15767;1.03333;-8.20927;1.99091;6.73125;1.47729;-2.4372;3.80078
-5.2417;-5.979;-2.54153;-1.02158;5.8208;0.222393;8.46818;-5.23581;-4.18955;0.714173;-4.49872;-4.89816;8.51107
7.56722;-1.00114;0.596719;3.07548;-7.49551;-5.12304;-3.81526;-8.04877;3.89577;-8.20014;-3.05945;7.65841;-3.15699
0.50796;-0.755768;8.85048;0.895926;1.33835;-6.40725;1.61475;-6.23102;5.29911;6.91304;7.50361;-7.05516;-4.52383
